code,name,zone,address,sequence
"AREI2","AREIAS","PRT3","R. AREIAS",1
"JD4","JOÃO DE DEUS","PRT3","R. AREIAS",2
"PNG4","PÊGO NEGRO","PRT3","R. AREIAS",3
"TVA2","TV. ALDEIA","PRT3","R. AREIAS",4
"AZV","AZEVEDO","PRT3","R.AZEVÊDO",5
"LGT2","LAGARTEIRO","PRT3","R.AZEVÊDO",6
"RAZ","R. AZEVEDO","PRT3","R.AZEVÊDO",7
"BNJ1","BONJÓIA","PRT3","ESTR.CIRCUNVALAÇÃO",8
"ICAM2","IGREJA DE CAMPANHÃ","PRT3","R.FALCÃO",9
"MCAM2","MONTE CAMPANHÃ","PRT3","R.FALCÃO",10
"BFAL2","BR. FALCÃO","PRT3","R.FALCÃO",11
"CHOL2","CHAVES OLIVEIRA","PRT3","R.S.ROQUE LAMEIRA",12
"CRJ2","CORUJEIRA","PRT3","R.S.ROQUE LAMEIRA",13
"EDRG2","ESTÁDIO DO DRAGÃO","PRT1","ALAM.DAS ANTAS",14
"AANT5","ALAMEDA DAS ANTAS","PRT1","VIA FUTEBOL CLUBE DO PORTO",15
