code,name,zone,address,sequence
"MATM1","MATOSINHOS MERCADO","MTS1","AV.ENG.DUARTE PACHECO",1
"SP5","S. PEDRO","MTS1","R.ROBERTO IVENS",2
"PDZ3","1º DE DEZEMBRO","MTS1","R.ROBERTO IVENS",3
"BRTC2","BRITO CAPELO","MTS1","R.TOMÁS RIBEIRO",4
"PQBT4","PQ BASÍLIO TELES","MTS1","R.TOMÁS RIBEIRO",5
"MATC2","MATOSINHOS (CMM)","MTS1","AV.D.AFONSO HENRIQUES",6
"CRV2","CARCAVELOS","MTS1","AV.D.AFONSO HENRIQUES",7
"DNAP4","D. NUNO A. PEREIRA","MTS1","R.D.NUN''ÁLVARES PEREIRA",8
"ESGZ2","E. SEC. G. ZARCO","MTS1","AV.VILLAGARCIA AROSA",9
"PREA2","PARQUE DE REAL","MTS1","AV.VILLAGARCIA AROSA",10
"QSEC2","QUINTA SECA","MTS1","AV.MERIGNAC",11
"HSPH2","HOSP. P. HISPANO","MTS1","R.DR.EDUARDO TORRES",12
"AZC2","AZENHA DE CIMA","MTS1","R.DR.EDUARDO TORRES",13
"SRHH1","SRA. HORA (HIPER)","MTS1","AV.CALOUSTE GULBENKIAM",14
"PJGL1","PARQUE J. G. LARANJO","MTS1","AV.CALOUSTE GULBENKIAM",15
"CARR1","CARRIÇAL","MTS1","AV.ANT.DOMINGUES SANTOS",16
"SRHE3","SRA.HORA (METRO)","PRT2","AV.ANT.DOMINGUES SANTOS",17
"ISRH4","IGREJA SENHORA DA HORA","PRT2","AV.FABRIL NORTE",18
"PAP2","PADRE ANTÓNIO PORTO","PRT2","AV.FABRIL NORTE",19
"SHRM4","SENHORA DA HORA (METRO)","PRT2","R.VASCO SANTANA",20
"QCM2","QUATRO CAMINHOS","PRT2","R.QUATRO CAMINHOS",21
"RNSG1","R. NOVA S. GENS","MAI1","R.S.GENS",22
"AP1","ANTÓNIO PEDRO","MAI1","R.S.GENS",23
"STA1","STA. APOLONIA","MAI1","R.SÃO GENS",24
"FGTR1","FOGUETEIROS","MAI1","R.SÃO GENS",25
"PLG4","PADRÃO LÉGUA","MAI1","R.SÃO GENS",26
"CSX1","CENTRAL SEIXO","MAI1","R.MONTE MINA",27
"VN1","VIA NORTE","MAI1","R.5 OUTUBRO",28
"PCT3","PICOUTOS","MAI1","R.5 OUTUBRO",29
"PCTV1","PICOUTOS (VIADUTO)","MAI1","R.5 OUTUBRO",30
"PDV1","PEDRA VERDE","MAI1","AV.CONDE",31
"GFR1","GODINHO FARIA","MAI1","AV.CONDE",32
"SMM6","S. MAMEDE","MAI1","AV.CONDE",33
"LARJ1","LARANJEIRAS","MAI1","R.HENRIQUE BRAVO",34
"AR2","ALMIRANTE REIS","MAI1","R.MOALDE",35
"RCT2","R.CENTRO","MAI1","R.MOALDE",36
"OG2","OLIVEIRA GAIO","MAI1","R.PADRE COSTA",37
"DRB2","DR.BARROS","MAI1","R.PADRE COSTA",38
"ISCP2","ISCAP","MAI1","R.PADRE COSTA",39
"CVD2","CAVADAS","MAI1","R.PADRE COSTA",40
"FEL2","FELICIANA","MAI1","R.DA ARROTEIA",41
"TARR2","TV. ARROTEIA","MAI1","R.BOUÇA CAVADINHA",42
"HSJ10","HOSP. S. JOÃO (CIRCUNVALAÇÃO)","PRT3","ESTR.CIRCUNVALAÇÃO",43
"HSJ4","HOSP. S. JOÃO (METRO)","PRT3","ALAM.HERNÂNI MONTEIRO",44
