code,name,zone,address,sequence
"CLRG","CLÉRIGOS","PRT1","R.ASSUNÇÃO",1
"CORD8","CORDOARIA","PRT1","C.MÁRTIRES PÁTRIA",2
"VTO4","VIRIATO","PRT1","R.RESTAURAÇÃO",3
"PAL6","PALÁCIO","PRT1","R.RESTAURAÇÃO",4
"EQ4","ENTRE QUINTAS","PRT1","R.RESTAURAÇÃO",5
"IGRM2","IGREJA DE MASSARELOS","PRT1","R.RESTAURAÇÃO",6
"MCE3","MUSEU C. ELÉCTRICO","PRT1","ALAM.BASÍLIO TELES",7
"BIC3","BICALHO","PRT1","R.OURO",8
"PARR3","PONTE ARRÁBIDA","PRT1","R.OURO",9
"ENCO3","ENCOSTA DA ARRÁBIDA","PRT2","R.OURO",10
"OURO3","OURO","PRT2","R.OURO",11
"FLU2","FLUVIAL","PRT2","LGO.ANT.CÁLEM",12
"DL5","D.LEONOR","PRT2","R.SOBREIRAS",13
"CNT3","CANTAREIRA","PRT2","R.PASSEIO ALEGRE",14
"PASS","PASSEIO ALEGRE","PRT2","R.PASSEIO ALEGRE",15
