code,name,zone,address,sequence
"BLRB2","BOLHÃO","PRT1","R.BOLHÃO",1
"BLFZ1","BOLHÃO (FIRMEZA)","PRT1","R.SÁ BANDEIRA",2
"JN3","JORNAL DE NOTÍCIAS","PRT1","R.GONÇALO CRISTÓVÃO",3
"PRR1","PR. DA REPÚBLICA","PRT1","PR.REPÚBLICA",4
"FIG","FIGUEIROA","PRT1","R.BOAVISTA",5
"CVA1","CARVALHOSA","PRT1","R.BOAVISTA",6
"HML1","HOSPITAL MILITAR","PRT1","AV.BOAVISTA",7
"BVBR2","BOAVISTA BRASÍLIA","PRT1","AV.BOAVISTA",8
"BCM1","BOAVISTA-CASA DA MÚSICA","PRT1","PR.MOUZINHO ALBUQUERQUE",9
"AGM1","AGRAMONTE","PRT1","AV.BOAVISTA",10
"ACRD1","ANTÓNIO CARDOSO","PRT1","AV.BOAVISTA",11
"BSS1","BESSA","PRT1","AV.BOAVISTA",12
"FOCO1","FOCO","PRT1","AV.BOAVISTA",13
"PINM1","PINHEIRO MANSO","PRT2","AV.BOAVISTA",14
"SRV3","SERRALVES","PRT2","AV.BOAVISTA",15
"PNV2","PAULO NOVAIS","PRT2","AV.BOAVISTA",16
"FTM4","FONTE DA MOURA","PRT2","AV.BOAVISTA",17
"LGO2","LICEU GARCIA ORTA","PRT2","AV.BOAVISTA",18
"PRCD3","PARQUE DA CIDADE","PRT2","AV.BOAVISTA",19
"NEV2","NEVOGILDE","PRT2","AV.BOAVISTA",20
"MAL2","MALACA","PRT2","AV.BOAVISTA",21
"CQ5","SEA LIFE CASTELO DO QUEIJO","PRT2","PR.GONÇALVES ZARCO",22
"PCID3","PR. CID. SALVADOR","PRT2","ESPLANADA RIO JANEIRO",23
"PCID1","PR. CID. SALVADOR","PRT2","ESTR.CIRCUNVALAÇÃO",24
"SAR1","SOUSA AROSO","MTS1","R.BRITO CAPELO",25
"AVM1","AV. MENÉRES","MTS1","R.BRITO CAPELO",26
"MTSP1","MATOSINHOS PRAIA","MTS1","AV.REPÚBLICA",27
"GODH5","GODINHO","MTS1","AV.SERPA PINTO",28
"LOTA1","LOTA","MTS1","AV.SERPA PINTO",29
"SP1","S. PEDRO","MTS1","AV.SERPA PINTO",30
"MATM6","MATOSINHOS MERCADO","MTS1","AV.ENG.DUARTE PACHECO",31
