code,name,zone,address,sequence
"LBM","LABORIM","VNG1","R.CORUJEIRAS",1
"ACDR2","ALAMEDA CEDRO","VNG1","R.CORUJEIRAS",2
"BRC2","BR. CEDRO","VNG1","AV.GIL VICENTE",3
"BRIB2","BERNARDIM RIBEIRO","VNG1","AV.GIL VICENTE",4
"GAZ2","GOMES AZURARA","VNG1","R.FERNÃO LOPES",5
"CDPD","CONDE D.PEDRO","VNG1","R.FERNÃO MENDES PINTO",6
"SO4","STO. OVÍDIO","VNG1","AV. REPÚBLICA",7
"DJM2","D.JOÃO II (METRO)","VNG1","AV.VASCO DA GAMA",8
"BIBG2","BIBLIOTECA DE GAIA","VNG1","AV. REPÚBLICA",9
"JD2","JOÃO DE DEUS","VNG1","AV. REPÚBLICA",10
"PDC","PÁDUA CORREIA","VNG1","R.PÁDUA CORREIA",11
"LGAV2","LGO. DOS AVIADORES","VNG1","R.PÁDUA CORREIA",12
"BRRS","BARROSA","VNG1","TV.BARROSA",13
"TCVC","TV.CONSELHEIRO VELOSO DA CRUZ","VNG1","R.D.ANTÓNIO FERREIRA GOMES",14
"ALPR1","ALFÉRES PEREIRA","VNG1","R.VISCONDE DEVESAS",15
"VDV2","VISCONDE DEVESAS","VNG1","AV.INFANTE D.HENRIQUE",16
"INFH2","INFANTE D.HENRIQUE","VNG1","AV.INFANTE D.HENRIQUE",17
"TELH2","TELHEIRA","VNG1","AV.DESCOBRIMENTOS",18
"GSHP2","GAIASHOPPING","VNG1","AV.DESCOBRIMENTOS",19
"MAKR4","MAKRO","VNG1","R.D.HENRIQUE CERNACHE",20
"AKI2","AKI","VNG1","R.D.HENRIQUE CERNACHE",21
"HRC2","HENRIQUE CERNACHE","VNG1","R.D.HENRIQUE CERNACHE",22
"RFON2","RIO DA FONTE","VNG1","R.DR.ALBERTO SOUSA VALENTE",23
"APRD3","ARCO DO PRADO","VNG1","R.SENHOR MATOSINHOS",24
"CMSM1","CEMITÉRIO STA. MARINHA","VNG1","AV.ENG.LUDGERO MARQUES",25
"BVC2","B.V. COIMBRÕES","VNG1","AV.ENG.LUDGERO MARQUES",26
"LV4","LAVOURAS","VNG1","AV.ENG.LUDGERO MARQUES",27
"PRMR2","PR. M. SILVA REIS","VNG1","R.MACHADO SANTOS",28
"MJP2","MAJOR PÁLA","VNG1","R.FERNANDES ANJOS",29
"CDL2","CANDAL","VNG1","R.VERA CRUZ",30
"LGM2","LGO. MONTINHO","VNG1","LGO.MONTINHO",31
"AH","ALEX. HERCULANO","VNG1","R.ALEXANDRE HERCULANO",32
"28J2","28 DE JANEIRO","VNG1","R.CAMILO CASTELO BRANCO",33
"CCB2","CAMILO C. BRANCO","VNG1","R.CAMILO CASTELO BRANCO",34
"ARRB2","ARRÁBIDASHOPPING","VNG1","AV.ESCULTORES",35
"JA2","JARDINS DA ARRÁBIDA","VNG1","AV.ESCULTORES",36
"CHAS2","CHÃS","VNG1","AV.ESCULTORES",37
"NOC","NÓ CANDAL","VNG1","VIA ENGENHEIRO EDGAR CARDOSO",38
"GONS2","GONÇALO SAMPAIO","PRT1","R.GONÇALO SAMPAIO",39
"1BS3","BOAVISTA - B.SUCESSO","PRT1","RUA DE SÃO PAULO",40
"BS1","BOAVISTA - B.SUCESSO","PRT1","R.JÚLIO DINIS",41
"BCM2","BOAVISTA-CASA DA MÚSICA","PRT1","AV.FRANÇA",42
"CMS6","CASA DA MÚSICA (METRO)","PRT1","R.CAPITÃO HENRIQUE GALVÃO",43
